"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:53:17,FALSE,NA,"1519736525172445192",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","chuhdry_101",244,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:52:03,FALSE,NA,"1519736215007866881",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jawo3112",244,TRUE,FALSE,NA,NA
"RT @zedesignss: @Twitter New logo concept - @elonmusk edition. Took some nights to do this merge. Hope you will like it <U+0001F499> #ElonMusk #Twitte…",FALSE,0,NA,2022-04-28 17:51:43,FALSE,NA,"1519736129909673988",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","abdullahamersid",3,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:51:19,FALSE,NA,"1519736028248129541",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Shahraiz_101",244,TRUE,FALSE,NA,NA
"Anyway, @elonmusk what do you thing about that? #TwitterCEO #ElonMusk https://t.co/kHMdAEEvzv",FALSE,0,NA,2022-04-28 17:46:14,FALSE,NA,"1519734751212490752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Liponchic",0,FALSE,FALSE,NA,NA
"RT @ManavSandhuji: <U+0001F603><U+0001F603>

#ElonMusk #ElonMuskBuyTwitter #TwitterTakeover #twittersold #TwitterCEO #Memes #funniesttweets https://t.co/LYp8dCta…",FALSE,0,NA,2022-04-28 17:46:05,FALSE,NA,"1519734713522417665",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rathodabhiji",6,TRUE,FALSE,NA,NA
"RT @coin_gabbar: Dogecoin Rise 40% After Elon Musk's $44 Billion Twitter Takeover
Follow @coin_gabbar 

#ElonMusk  #ElonMuskTwitter  #dogec…",FALSE,0,NA,2022-04-28 17:45:42,FALSE,NA,"1519734616495513600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rathodabhiji",52,TRUE,FALSE,NA,NA
"RT @ShinobiOfCrypto: $Marvin is still under heavy discount and guess what?

Once again scared money gonna miss this opportunity and won't m…",FALSE,0,NA,2022-04-28 17:45:38,FALSE,NA,"1519734600007827458",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dina137101",244,TRUE,FALSE,NA,NA
"RT @aajtak: Twitter <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932> <U+0926><U+093F><U+090F> Parag Agrawal? <U+091C><U+093E><U+0928><U+0947><U+0902> <U+092A><U+0942><U+0930><U+093E> <U+092E><U+093E><U+092E><U+0932><U+093E> 

@ashutoshjourno  

#CEOParagAgrawal #TwitterCEO #Twitter #ElonMusk #ATdi…",FALSE,0,NA,2022-04-28 17:45:20,FALSE,NA,"1519734523776229488",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mohamma45709900",3,TRUE,FALSE,NA,NA
"RT @thanos_panditji: who did this..?
#TwitterCEO https://t.co/iA4gKSYxtl",FALSE,0,NA,2022-04-28 17:44:39,FALSE,NA,"1519734352703549440",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hemveer86",26,TRUE,FALSE,NA,NA
